student_id,data_split,age,semester,program_stream,institution_type,residence_mode,scholarship_holder,current_gpa,failed_subjects,backlog_count,credits_completion_ratio,attendance_pct,attendance_velocity_14d,consecutive_absent_days,lms_active_hours_week,lms_activity_velocity_pct,assignment_completion_pct,avg_assignment_delay_days,missed_assessments,fee_overdue_days,scholarship_delay_days,financial_support_requested,paid_work_hours_week,family_responsibility_hours_week,course_satisfaction_1_5,career_uncertainty_1_5,prerequisite_gap_score,language_transition_score,commute_minutes_one_way,hostel_issue_score,campus_belonging_1_5,mentor_interactions_month,overwhelmed_score_1_5,support_requested,F1_academic_difficulty,F2_attendance_decline,F3_low_engagement,F4_financial_stress,F5_work_pressure,F6_family_responsibility,F7_course_mismatch,F8_transition_language_gap,F9_commute_housing,F10_low_belonging_support,F11_wellbeing_support_need,synthetic_risk_probability,risk_tier,dominant_risk_factor,secondary_risk_factor,dropout_label,student_outcome,confirmed_exit_reason,generation_version
SYN00001,TRAIN,18,4,Science,Government,With Family,0,6.73,3,4,0.663,70.4,-4.4,6,11.1,-33.4,64.0,6.0,2,18,0,0,0.0,6.6,3.9,1.2,0.44,0.211,37,0.132,3.3,3,3.1,0,66.2,43.8,43.4,39.0,25.9,8.5,21.0,41.8,28.3,49.6,42.4,0.3865,LOW,Academic difficulty,Low belonging / weak mentor support,1,DROPOUT,EMPLOYMENT_PRESSURE,SIH_SYN_V1_2026-08-22
SYN00002,TRAIN,21,2,Other,Private,Hostel,0,8.8,3,2,0.761,63.2,-13.5,4,10.5,-29.0,78.6,6.2,3,20,0,0,0.0,11.7,1.7,4.4,0.438,0.32,5,0.0,4.2,2,3.1,1,40.5,45.8,52.0,42.1,31.7,38.5,68.7,43.5,11.9,36.9,52.4,0.5536,MODERATE,Course mismatch / low interest,Wellbeing / support need,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00003,TRAIN,21,4,Health/Allied,Private,Hostel,1,5.52,3,5,0.756,77.5,-1.4,4,12.0,7.8,90.8,5.0,1,76,28,1,17.3,11.1,5.0,1.0,0.634,0.356,21,0.239,3.2,2,1.3,0,46.9,39.9,26.9,50.2,29.0,48.6,5.4,54.7,32.7,44.2,29.3,0.3693,LOW,Transition / language / prerequisite gap,Financial stress,1,DROPOUT,LOW_CAMPUS_SUPPORT,SIH_SYN_V1_2026-08-22
SYN00004,TRAIN,19,1,Commerce/Management,Government,With Family,0,7.1,1,0,0.924,83.9,4.1,0,10.9,-34.8,73.5,7.3,3,14,0,0,8.9,4.9,2.7,3.2,0.211,0.153,50,0.184,3.7,3,2.1,1,26.4,8.4,40.7,24.4,21.5,34.6,65.9,23.6,47.8,31.1,44.6,0.2071,LOW,Course mismatch / low interest,Commute / housing / accessibility,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00005,TRAIN,24,8,Other,Government-Aided,Hostel,1,6.93,3,2,0.843,84.3,-6.4,2,13.0,-24.0,65.9,8.1,2,30,21,1,0.0,16.6,2.8,2.5,0.076,0.0,13,0.104,4.3,3,3.2,0,30.0,17.9,41.0,21.7,17.6,32.4,49.3,4.6,3.2,27.8,39.9,0.1095,LOW,Course mismatch / low interest,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00006,TRAIN,19,1,Commerce/Management,Private,With Family,1,6.41,3,4,0.723,78.7,-5.0,3,9.0,-12.3,73.1,6.3,1,49,6,0,14.7,10.1,3.1,2.4,0.524,0.756,55,0.046,3.8,2,2.2,1,47.7,26.1,36.1,30.6,23.5,25.8,35.2,70.6,25.9,22.6,30.2,0.2529,LOW,Transition / language / prerequisite gap,Academic difficulty,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00007,TEST,19,2,Commerce/Management,Government-Aided,With Family,0,8.19,2,3,0.816,82.3,-3.6,1,10.0,-23.7,77.8,5.1,2,27,0,1,0.0,0.0,3.3,2.9,0.274,0.275,46,0.0,2.6,3,3.4,1,28.5,25.2,47.0,43.9,39.7,7.5,46.5,24.1,18.2,61.6,62.9,0.3525,LOW,Wellbeing / support need,Low belonging / weak mentor support,1,DROPOUT,FINANCIAL_CONSTRAINT,SIH_SYN_V1_2026-08-22
SYN00008,TRAIN,24,7,Education,Private,Hostel,0,7.93,1,3,0.738,78.6,-5.0,4,6.2,-1.8,73.2,4.6,0,14,0,0,7.3,0.0,3.9,1.5,0.22,0.37,9,0.177,3.3,2,1.6,0,33.6,20.3,42.3,19.7,16.7,2.5,31.2,41.9,6.8,49.7,23.4,0.0916,LOW,Low belonging / weak mentor support,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
SYN00009,TRAIN,20,4,Arts/Humanities,Private,With Family,0,7.49,1,2,0.857,73.8,-6.5,6,14.3,10.4,69.8,0.8,1,92,0,1,19.2,15.5,4.8,1.6,0.296,0.351,56,0.171,4.3,3,4.2,0,25.7,47.6,18.3,64.9,43.3,31.6,3.8,40.8,56.4,28.5,42.6,0.3785,LOW,Financial stress,Commute / housing / accessibility,1,DROPOUT,WELLBEING_SUPPORT_NEED,SIH_SYN_V1_2026-08-22
SYN00010,TRAIN,21,1,Commerce/Management,Government-Aided,With Family,1,5.2,2,5,0.605,78.7,-3.8,3,10.6,-4.9,66.5,8.7,3,6,0,0,0.0,0.0,2.7,2.4,0.505,0.301,56,0.101,3.6,3,2.7,1,56.3,29.4,54.8,10.2,10.9,5.6,50.9,34.7,17.2,35.6,42.1,0.1991,LOW,Academic difficulty,Low learning engagement,0,CONTINUED,,SIH_SYN_V1_2026-08-22
