risk_factor,risk_contribution,contribution_percentage
Low Belonging / Weak Support,0.32108796,39.79467
Transition / Language / Prerequisite Gap,0.15561941,19.286997
Academic Difficulty,0.11729498,14.537184
Low Learning Engagement,0.09800034,12.1458645
Wellbeing / Support Need,0.08283795,10.266684
Commute / Housing,0.032021128,3.9686012
Attendance Decline,0.0,0.0
Course Mismatch / Low Interest,0.0,0.0
Family / Domestic Responsibility,0.0,0.0
Employment / Work Pressure,0.0,0.0
Financial Stress,0.0,0.0
